日付,ドル円,ポンド円,オシレーター買いドル円,オシレーター中立ドル円,オシレーター売りドル円,移動平均買いドル円,移動平均中立ドル円,移動平均売りドル円,オシレーター買いポンド円,オシレーター中立ポンド円,オシレーター売りポンド円,移動平均買いポンド円,移動平均中立ポンド円,移動平均売りポンド円,S&P500指数,S&P500指数変化率,日経平均株価,日経平均株価変化率,UK100INDEX,UK100INDEX変化率,恐怖指数,恐怖指数変化率,ドル円(15分前),ポンド円(15分前),ドル円(1分後),ポンド円(1分後)
2021/01/04/ 11:19:48,103.057,141.08,1,8,2,1,1,14,3,7,1,16,1,0,3756.08,0,27325.54,0,6460.5,0,22.75,0,103.036,140.992,103.05,141.067
2021/01/04/ 11:20:53,103.05,141.067,1,8,2,1,1,14,3,8,0,15,1,1,3756.08,0,27325.54,0,6460.5,0,22.75,0,103.038,141.02,103.04,141.052
2021/01/04/ 11:21:59,103.04,141.052,1,8,2,1,1,14,3,8,0,11,1,5,3756.08,0,27325.54,0,6460.5,0,22.75,0,103.039,141,103.035,141.041
2021/01/04/ 11:23:03,103.035,141.041,1,8,2,1,1,14,2,9,0,10,1,6,3756.08,0,27316.89,-0.0317,6460.5,0,22.75,0,103.04,141.018,103.028,141.019
2021/01/04/ 11:24:08,103.028,141.019,1,8,2,1,1,14,0,9,2,3,1,13,3756.08,0,27316.89,0,6460.5,0,22.75,0,103.041,141.034,103.016,140.969
2021/01/04/ 11:25:12,103.016,140.969,1,8,2,1,1,14,2,7,2,0,1,16,3756.08,0,27327.41,0.0385,6460.5,0,22.75,0,103.043,141.035,103.02,140.996
2021/01/04/ 11:26:17,103.02,140.996,1,8,2,1,1,14,2,6,3,1,1,15,3756.08,0,27327.41,0,6460.5,0,22.75,0,103.042,141.015,102.999,140.994
2021/01/04/ 11:27:22,102.999,140.994,1,8,2,1,1,14,2,7,2,1,1,15,3756.08,0,27328.31,0.0033,6460.5,0,22.75,0,103.04,141.055,103,140.996
2021/01/04/ 11:28:27,103,140.996,1,8,2,1,1,14,0,8,3,2,1,14,3756.08,0,27328.31,0,6460.5,0,22.75,0,103.051,141.058,103.007,141
2021/01/04/ 11:29:32,103.007,141,1,8,2,1,1,14,1,9,1,4,1,12,3756.08,0,27329.91,0.0059,6460.5,0,22.75,0,103.043,141.055,103.008,140.98
2021/01/04/ 11:30:37,103.008,140.98,1,8,2,1,1,14,0,9,2,5,1,11,3756.08,0,27329.91,0,6460.5,0,22.75,0,103.055,141.047,103.006,141.008
2021/01/04/ 11:31:41,103.006,141.008,1,8,2,1,1,14,1,9,1,5,1,11,3756.08,0,27335.67,0.0211,6460.5,0,22.75,0,103.053,141.063,103.003,141.008
2021/01/04/ 11:32:47,103.003,141.008,1,8,2,1,1,14,0,8,3,5,1,11,3756.08,0,27335.67,0,6460.5,0,22.75,0,103.053,141.065,103.025,141.015
2021/01/04/ 11:33:52,103.025,141.015,1,8,2,1,1,14,0,9,2,13,1,3,3756.08,0,27344.82,0.0335,6460.5,0,22.75,0,103.045,141.053,103.01,141.015
2021/01/04/ 11:34:57,103.01,141.015,1,8,2,1,1,14,0,8,3,1,1,15,3756.08,0,27344.82,0,6460.5,0,22.75,0,103.057,141.08,103.02,140.997
2021/01/04/ 11:36:02,103.02,140.997,1,8,2,1,1,14,1,8,2,0,1,16,3756.08,0,27344.82,0,6460.5,0,22.75,0,103.05,141.067,103.02,140.989
2021/01/04/ 11:37:08,103.02,140.989,1,8,2,1,1,14,1,8,2,0,1,16,3756.08,0,27344.82,0,6460.5,0,22.75,0,103.04,141.052,103.031,140.978
2021/01/04/ 11:38:12,103.031,140.978,1,8,2,1,1,14,0,8,3,1,1,15,3756.08,0,27344.82,0,6460.5,0,22.75,0,103.035,141.041,103.026,140.981
2021/01/04/ 11:39:18,103.026,140.981,1,8,2,1,1,14,1,8,2,1,1,15,3756.08,0,27344.82,0,6460.5,0,22.75,0,103.028,141.019,103.016,140.974
2021/01/04/ 11:40:22,103.016,140.974,1,8,2,1,1,14,1,8,2,1,1,15,3756.08,0,27344.82,0,6460.5,0,22.75,0,103.016,140.969,102.99,140.96
2021/01/04/ 11:41:27,102.99,140.96,1,8,2,1,1,14,1,8,2,1,1,15,3756.08,0,27344.82,0,6460.5,0,22.75,0,103.02,140.996,103,140.981
2021/01/04/ 11:42:32,103,140.981,1,8,2,1,1,14,1,6,4,3,1,13,3756.08,0,27344.82,0,6460.5,0,22.75,0,102.999,140.994,103.004,140.982
2021/01/04/ 11:43:38,103.004,140.982,1,8,2,1,1,14,1,9,1,5,1,11,3756.08,0,27344.82,0,6460.5,0,22.75,0,103,140.996,102.997,140.99
2021/01/04/ 11:44:43,102.997,140.99,1,8,2,1,1,14,1,8,2,5,1,11,3756.08,0,27344.82,0,6460.5,0,22.75,0,103.007,141,102.978,140.973
2021/01/04/ 11:45:48,102.978,140.973,1,8,2,0,1,15,1,8,2,0,1,16,3756.08,0,27344.82,0,6460.5,0,22.75,0,103.008,140.98,102.972,140.974
2021/01/04/ 11:46:54,102.972,140.974,1,8,2,0,1,15,2,8,1,3,2,12,3756.08,0,27344.82,0,6460.5,0,22.75,0,103.006,141.008,102.99,141.003
2021/01/04/ 11:47:59,102.99,141.003,1,8,2,0,1,15,1,9,1,11,1,5,3756.08,0,27344.82,0,6460.5,0,22.75,0,103.003,141.008,102.992,141.003
2021/01/04/ 11:49:03,102.992,141.003,1,8,2,0,1,15,3,8,0,10,1,6,3756.08,0,27344.82,0,6460.5,0,22.75,0,103.025,141.015,102.987,141
2021/01/04/ 11:50:08,102.987,141,1,8,2,0,1,15,2,8,1,15,1,1,3756.08,0,27344.82,0,6460.5,0,22.75,0,103.01,141.015,102.977,141.025
2021/01/04/ 11:51:12,102.977,141.025,1,8,2,0,1,15,3,7,1,15,1,1,3756.08,0,27344.82,0,6460.5,0,22.75,0,103.02,140.997,102.991,141.025
2021/01/04/ 11:52:17,102.991,141.025,1,8,2,0,1,15,3,6,2,15,1,1,3756.08,0,27344.82,0,6460.5,0,22.75,0,103.02,140.989,103.005,141.033
2021/01/04/ 11:53:22,103.005,141.033,1,8,2,1,1,14,3,7,1,9,1,7,3756.08,0,27344.82,0,6460.5,0,22.75,0,103.031,140.978,103.004,141.022
2021/01/04/ 11:54:27,103.004,141.022,1,8,2,1,1,14,2,9,0,7,1,9,3756.08,0,27344.82,0,6460.5,0,22.75,0,103.026,140.981,103,140.987
2021/01/04/ 11:55:32,103,140.987,1,8,2,1,1,14,2,8,1,0,1,16,3756.08,0,27344.82,0,6460.5,0,22.75,0,103.016,140.974,103.008,141.006
2021/01/04/ 11:56:36,103.008,141.006,1,8,2,1,1,14,1,9,1,4,1,12,3756.08,0,27344.82,0,6460.5,0,22.75,0,102.99,140.96,103.005,140.98
2021/01/04/ 11:57:41,103.005,140.98,1,8,2,1,1,14,2,8,1,9,1,7,3756.08,0,27344.82,0,6460.5,0,22.75,0,103,140.981,102.989,140.98
2021/01/04/ 11:58:46,102.989,140.98,1,8,2,0,1,15,0,8,3,2,1,14,3756.08,0,27344.82,0,6460.5,0,22.75,0,103.004,140.982,102.97,140.98
